NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Locations
NCT07164144,SAVE: School Ambassadors for Vaccine Education,https://clinicaltrials.gov/study/NCT07164144,NOT_YET_RECRUITING,Immunization; Infection,BEHAVIORAL: Vaccine Communication Training,University of Rochester,Centers for Disease Control and Prevention,INTERVENTIONAL,
NCT07164131,Azithromycin Versus Doxycycline in Hospitalized Adult Patients With Community Acquired Pneumonia,https://clinicaltrials.gov/study/NCT07164131,NOT_YET_RECRUITING,Community-acquired Pneumonia,DRUG: Doxycycline|DRUG: Azithromycin,Mayo Clinic,,INTERVENTIONAL,"Mayo Clinic in Arizona, Scottsdale, Arizona, 85259, United States|Mayo Clinic in Florida, Jacksonville, Florida, 32224, United States|Mayo Clinic Health System-Mankato, Mankato, Minnesota, 56001, United States|Mayo Clinic in Rochester, Rochester, Minnesota, 55905, United States|Mayo Clinic Health System-La Crosse, La Crosse, Wisconsin, 54601, United States"
NCT07164118,Therapeutic Effects of Pranayama Breathing Technique and Deep Breathing Exercises on Pain and Anxiety After Abdominal Surgery,https://clinicaltrials.gov/study/NCT07164118,ACTIVE_NOT_RECRUITING,Abdominal Surgery,BEHAVIORAL: Pranayama Breathing Exercise|BEHAVIORAL: Deep Breathing Exercise,Cukurova University,,INTERVENTIONAL,"Afsin State Hospital, Kahramanmaraş, Afşin, 46500, Turkey (Türkiye)"
NCT07164105,LIFU Mechanisms for PTSD in Healthcare Workers,https://clinicaltrials.gov/study/NCT07164105,NOT_YET_RECRUITING,PTSD and Trauma-related Symptoms,DEVICE: Low intensity focused ultrasound|DEVICE: Sham modulation,"Laureate Institute for Brain Research, Inc.",,INTERVENTIONAL,"Laureate Institute for Brain Research, Tulsa, Oklahoma, 74136, United States"
NCT07164092,Efficacy of Topical Atropine Eye Drops for Control of Myopia Progression Among Children Attending Mansoura University Ophthalmic Center,https://clinicaltrials.gov/study/NCT07164092,NOT_YET_RECRUITING,Myopia,DRUG: Atropine 0.05% Eye drops|DRUG: Placebo ophthalmic solution,Mansoura University,,INTERVENTIONAL,
NCT07164079,Rubus Sanctus (Wild Blackberry) Root Extract as a Dietary Supplement for Graves' Disease,https://clinicaltrials.gov/study/NCT07164079,RECRUITING,Graves Disease (Basedow&#39;s Disease),DIETARY_SUPPLEMENT: blackberry root|DIETARY_SUPPLEMENT: black tea,Betul Uner,,INTERVENTIONAL,"Muğla Sıtkı Koçman University/Muğla Training and Research Hospital Endocrine and Metabolic Diseases Polyclinic, Muğla, Mentese, 48000, Turkey (Türkiye)"
NCT07164066,Digital vs Conventional Prosthetic Rehab & Occlusal Analysis in Edentulous Patients,https://clinicaltrials.gov/study/NCT07164066,NOT_YET_RECRUITING,Edentulous Complete Denture Wearers|Dental Occlusion,DEVICE: Digital Occlusal Analysis Device,Mohammed Bin Rashid University of Medicine and Health Sciences,,INTERVENTIONAL,
NCT07164053,Evaluation of Image Quality and Safety of the MyVeo Surgical Visualization Headset During Standard Neurosurgical and Reconstructive Procedures Using Compatible Microscopes.,https://clinicaltrials.gov/study/NCT07164053,NOT_YET_RECRUITING,High-Grade Glioma (WHO III-IV)|Cerebral Vascular Conditions Requiring Surgical Intervention|Conditions Requiring Plastic and Reconstructive Surgery,"DEVICE: MyVeo is an all-in-one surgical visualization headset used with compatible surgical microscopes and other medical imaging systems in the area of neurosurgery, ENT, spine, plastic and reconstructive su",Leica Microsystems (Schweiz) AG,,OBSERVATIONAL,"Hospital Germans Trias I Pujol, Barcelona, Spain|University Hospital Basel, Basel, Switzerland"
NCT07164040,Leica Microsystems Sponsored PMCF Study to Collect and Confirm Clinical Data on the Performance of the GLOW800 Device When Used in Accordance With Its Intended Use.,https://clinicaltrials.gov/study/NCT07164040,NOT_YET_RECRUITING,Reconstructive Surgical Procedures|Plastic Surgery|Vascular Surgical Procedure|Cerebrovascular Disorder,"DEVICE: The GLOW800, a non-contact, non-invasive device, allows the surgical microscope ARveo 8 and ARveo 8X to produce excitation light and resolve fluorescence emission from the fluorescent agent ICG",Leica Microsystems (Schweiz) AG,,OBSERVATIONAL,"Unidade Local de Saúde de São João, Porto, Portugal|Hospital Germans Trias I Pujol, Barcelona, Spain|University Hospital Basel, Basel, Switzerland"
NCT07164027,"Comparing a New PSMA Imaging Agent to MRI for Detecting Prostate Cancer, BEACON Trial",https://clinicaltrials.gov/study/NCT07164027,NOT_YET_RECRUITING,Prostate Carcinoma,PROCEDURE: Biopsy of Prostate|PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|RADIATION: Flotufolastat F-18 Gallium|PROCEDURE: Positron Emission Tomography,Jonsson Comprehensive Cancer Center,BLUE EARTH DIAGNOSTICS (UNITED KINGDOM),INTERVENTIONAL,"UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, 90095, United States"
